ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_snippet_keyword_overlap,unique_domains,github_result_count,academic_result_count
saref4syst.ttl,"""SAREF4SYST: an extension of SAREF for typology of systems and their inter-connections"" ontology",10,0.5815498021070776,0.15793327894624673,5,0,0
saref4watr.ttl,"""SAREF4WATR: an extension of SAREF for the water domain"" ontology",4,0.6125,0.22638248847926268,1,0,0
saref4wear.ttl,"""SAREF4WEAR: an extension of SAREF for the Wearables domain"" ontology",9,0.5907407407407408,0.2522105681952229,5,0,0
sbeo.ttl,"""SBEO: Smart Building Evacuation Ontology"" ontology",6,0.8690476190476191,0.17224923862854896,6,1,1
sd.ttl,"""Sensor Data ontology"" ontology",2,1.0,0.17482517482517482,1,0,0
seas.ttl,"""SEAS Ontology"" ontology",4,0.4464285714285714,0.07286967418546365,4,0,0
sml.ttl,"""https://w3id.org/sml/2/owl/def""",1,0.14285714285714285,0.5,1,0,0
sosa.ttl,"""Sensor, Observation, Sample, and Actuator (SOSA) Ontology"" ontology",3,0.7681159420289855,0.29521072796934866,3,0,1
ssn.ttl,"""Semantic Sensor Network Ontology"" ontology",1,1.0,0.03125,1,0,0
stg.ttl,"""STG: Scan-to-Graph"" ontology",1,0.4444444444444444,0.1,1,1,0
tempo.ttl,"""Data Template Ontology (TempO)"" ontology",5,0.47523809523809524,0.10631164680412286,5,1,0
th-actor.ttl,"""01 Actor and Preference Ontology"" built environment",1,0.0,0.625,1,0,0
th-building.ttl,,0,0.0,0.0,0,0,0
th-energy.ttl,"""5 Home Automation Ontology"" built environment",1,0.1111111111111111,0.3076923076923077,1,0,0
th-process.ttl,"""https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/ProcessOntology.owl""",2,0.0,0.04805491990846682,2,0,0
