filename,fields_total,fields_filled,completeness_pct,parse_success,parse_error,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,import_count,language_count,has_title,has_namespace_uri,has_description,has_license,has_version,has_creators,data_property_count,object_property_count,annotation_score,foops_score,alignment_score,accessibility_score,quality_score,has_documentation,has_serialization,has_conceptual_model
sbonto,13,5,38.5,True,,0,0,0,0.0,0.0,0,0,True,False,True,False,False,False,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False
sd,13,10,76.9,True,,10,16,0,100.0,0.0,4,0,True,True,True,True,True,True,10,6,100.0,0.15,2.0,3.0,2.0,True,True,True
seas,13,10,76.9,True,,0,0,0,0.0,0.0,7,0,True,True,True,True,True,True,0,0,0.0,0.08,1.0,3.0,1.0,True,True,True
sero,13,6,46.2,True,,0,0,0,0.0,0.0,4,0,True,False,True,False,False,False,0,0,0.0,0.0,1.0,0.0,1.0,True,False,False
sml,13,6,46.2,True,,53,37,0,0.0,0.0,7,0,True,True,True,False,False,False,1,36,0.0,0.29,3.0,3.0,1.0,True,True,True
sosa,13,9,69.2,True,,16,23,0,100.0,0.0,7,0,True,True,True,True,False,True,2,21,100.0,0.72,1.0,3.0,2.0,True,True,True
ssn,13,10,76.9,True,,11,16,0,100.0,0.0,6,0,True,True,True,True,True,True,0,16,100.0,0.73,3.0,3.0,2.0,True,True,True
stg,13,8,61.5,True,,12,13,0,0.0,0.0,3,0,True,True,True,False,True,False,6,7,0.0,0.15,2.0,3.0,1.0,True,True,True
tempo,13,9,69.2,True,,28,46,0,59.7,0.0,9,0,True,True,True,True,True,True,21,25,59.7,0.83,2.0,3.0,1.6,True,True,True
th-actor,13,8,61.5,True,,60,21,0,37.5,0.0,1,0,True,True,True,False,True,False,6,15,37.5,0.04,1.0,3.0,0.4,False,True,True
th-building,13,8,61.5,True,,880,439,0,36.7,0.0,3,0,True,True,True,False,True,False,207,232,36.7,0.04,2.0,2.0,0.4,False,True,False
th-energy,13,8,61.5,True,,710,120,0,58.6,0.0,3,0,True,True,True,False,True,False,44,76,58.6,0.04,1.0,3.0,0.6,False,True,True
th-process,13,8,61.5,True,,240,40,0,33.0,0.0,1,0,True,True,True,False,True,False,10,30,33.0,0.04,1.0,2.0,0.3,False,True,False
th-sharedvoc,13,7,53.8,True,,37,5,0,69.4,0.0,0,0,True,True,True,False,True,False,0,5,69.4,0.04,0.0,2.0,0.7,False,True,False
th-weather,13,8,61.5,True,,223,37,0,22.3,0.0,2,0,True,True,True,False,True,False,16,21,22.3,0.04,1.0,2.0,0.2,False,True,False
uno,13,5,38.5,True,,0,0,0,0.0,0.0,0,0,True,False,True,False,False,False,0,0,0.0,0.0,0.0,1.0,1.0,True,False,True
unocs,13,9,69.2,True,,405,394,0,1.4,0.0,13,0,True,True,True,True,False,True,69,325,1.4,0.19,3.0,3.0,1.0,True,True,True
upo,13,5,38.5,True,,0,0,0,0.0,0.0,0,0,True,False,True,False,False,False,0,0,0.0,0.0,0.0,1.0,1.0,True,False,True
weat,13,9,69.2,True,,30,25,0,96.0,0.0,9,0,True,True,True,True,False,True,7,18,96.0,0.15,3.0,3.0,2.0,True,True,True
wgs84_pos,13,7,53.8,True,,0,0,0,0.0,0.0,0,0,True,True,True,False,True,False,0,0,0.0,0.23,0.0,1.0,1.0,True,False,False
xemo,13,8,61.5,True,,13,14,0,96.3,0.0,8,0,True,True,True,True,False,False,0,14,96.3,0.15,3.0,3.0,1.0,False,True,True
