ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
reno-inst.ttl,"""Reno-Inst ontology"" renovation",3,0.3333,0.032,0.3333,False,10,2021,0.3333,1.0
renp.ttl,"""Renovation Processes and Work Orders Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
resource.ttl,"""COGITO Resource ontology"" construction",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
safety.ttl,"""construction safety"" ontology",3,0.204,0.0214,0.2727,False,40,2022,0.0,1.0
sao.ttl,sao ontology built environment,0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref.ttl,"""SAREF: the Smart Applications REFerence ontology"" ontology",4,0.1707,0.0518,0.3333,False,20.2,2022,0.0,1.0
saref4agri.ttl,"""SAREF4AGRI: an extension of SAREF for the agriculture and food domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4auto.ttl,"""SAREF4AUTO: an extension of SAREF for the automotive domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4bldg.ttl,"""SAREF4BLDG: an extension of SAREF for the building domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4city.ttl,"""SAREF4CITY: an extension of SAREF for the Smart City domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4ehaw.ttl,"""SAREF4EHAW: an extension of SAREF for eHealth Ageing Well domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4ener.ttl,"""SAREF for Energy Flexibility"" ontology",1,0.125,0.0205,0.125,False,386,2021,0.0,1.0
saref4envi.ttl,"""SAREF4ENVI: an extension of SAREF for the Environment domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4grid.ttl,"""SAREF4GRID: an extension of SAREF for the Smart Grid domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4inma.ttl,"""SAREF4INMA: an extension of SAREF for the industry and manufacturing domain"" ontology",1,0.6923,0.0855,0.6923,False,19,2020,0.0,1.0
saref4lift.ttl,"""SAREF4WEAR: an extension of SAREF for the Smart Lifts domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4syst.ttl,"""SAREF4SYST: an extension of SAREF for typology of systems and their inter-connections"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4watr.ttl,"""SAREF4WATR: an extension of SAREF for the water domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref4wear.ttl,"""SAREF4WEAR: an extension of SAREF for the Wearables domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
